FactID,AssignDate,DateID,ClientID,SupplierID,ProductID,Quantity,Price
1,2025-09-26,126,1,1,1,39,67.82
2,2025-07-09,47,2,2,2,41,14.58
3,2025-07-10,48,3,3,2,47,86.44
4,2025-07-01,39,4,2,3,8,59.68
5,2025-08-14,83,5,1,4,42,107.15
6,2025-09-04,104,6,2,4,18,36.93
7,2025-07-07,45,7,3,2,35,58.34
8,2025-08-13,82,8,4,5,30,107.47
9,2025-09-04,104,9,4,3,9,37.44
10,2025-10-29,159,10,3,6,14,111.38
11,2025-06-22,30,11,4,2,39,16.03
12,2025-09-11,111,12,3,6,25,73.36
13,2025-11-16,177,13,4,5,16,30.64
14,2025-10-10,140,14,1,3,14,81.64
15,2025-09-05,105,15,4,7,17,87.16
16,2025-06-09,17,16,3,8,30,54.87
17,2025-10-03,133,17,4,7,34,94.01
18,2025-11-18,179,18,1,7,17,81.88
19,2025-06-21,29,19,2,5,34,92.59
20,2025-10-25,155,20,2,4,23,31.86
21,2025-05-30,7,21,4,3,37,62.66
22,2025-10-24,154,22,1,8,1,35.82
23,2025-05-31,8,23,4,6,42,62.21
24,2025-10-07,137,24,3,2,38,75.35
25,2025-06-20,28,25,4,9,23,84.67
26,2025-11-08,169,26,2,5,14,103.6
27,2025-09-09,109,27,3,4,27,61.65
28,2025-07-25,63,28,3,8,12,70.18
29,2025-07-05,43,29,1,9,36,79.27
30,2025-06-23,31,30,3,5,8,72.91
31,2025-07-28,66,31,2,2,29,48.23
32,2025-05-27,4,32,2,1,29,104.82
33,2025-10-10,140,33,3,1,24,59.46
34,2025-06-19,27,34,1,1,37,14.37
35,2025-06-14,22,35,1,9,42,12.14
36,2025-09-16,116,36,3,5,13,60.81
37,2025-10-24,154,37,4,1,26,52.6
38,2025-06-07,15,38,4,1,2,64.85
39,2025-10-07,137,39,3,7,35,18.71
40,2025-09-03,103,40,1,3,4,95.93
41,2025-10-27,157,41,1,1,20,79.7
42,2025-10-27,157,42,1,9,43,62.09
43,2025-08-20,89,43,2,7,20,60.14
44,2025-08-23,92,44,1,9,11,58.5
45,2025-07-07,45,45,2,2,29,58.32
46,2025-07-06,44,46,4,8,25,115.48
47,2025-09-28,128,47,2,6,46,51.84
48,2025-09-03,103,48,4,9,38,20.78
49,2025-09-22,122,49,2,9,49,59.78
50,2025-09-16,116,50,2,9,7,80.52
51,2025-07-30,68,51,3,3,3,104.96
52,2025-08-20,89,52,3,9,20,66.85
53,2025-11-09,170,53,3,3,33,68.51
54,2025-07-19,57,54,1,2,3,114.89
55,2025-08-30,99,55,1,9,21,109.89
56,2025-07-06,44,56,3,9,42,68.4
57,2025-10-24,154,57,2,3,16,42.91
58,2025-10-23,153,58,3,8,6,78.97
59,2025-08-01,70,59,2,7,23,100.74
60,2025-06-06,14,60,3,9,18,106.78
61,2025-09-10,110,61,4,5,28,91.34
62,2025-08-01,70,62,1,6,3,44.57
63,2025-09-14,114,63,1,5,7,118.23
64,2025-09-25,125,64,4,8,18,84.72
65,2025-08-14,83,65,2,1,28,10.87
66,2025-06-20,28,66,4,4,36,30.67
67,2025-09-20,120,67,3,2,47,89.19
68,2025-09-26,126,68,1,7,25,50.86
69,2025-09-03,103,69,4,1,40,44.64
70,2025-10-12,142,70,1,6,24,28.39
71,2025-07-03,41,71,2,3,18,23.18
72,2025-05-26,3,72,1,3,28,23.21
73,2025-10-29,159,73,4,9,44,10.39
74,2025-05-31,8,74,1,3,45,106.75
75,2025-08-07,76,75,3,9,29,103.48
76,2025-11-05,166,76,3,8,22,119.36
77,2025-09-02,102,77,3,2,15,83.32
78,2025-10-09,139,78,3,2,44,39.6
79,2025-08-29,98,79,2,1,33,114.25
80,2025-10-31,161,80,2,7,6,12.9
81,2025-09-03,103,81,2,4,10,13.02
82,2025-10-19,149,82,1,1,8,37.85
83,2025-07-21,59,83,1,3,19,26.08
84,2025-10-06,136,84,1,6,11,32.79
85,2025-07-06,44,85,2,9,30,10.54
86,2025-10-31,161,86,4,2,42,73.23
87,2025-06-09,17,87,4,9,22,82.88
88,2025-08-21,90,88,2,1,31,115.86
89,2025-08-25,94,89,2,5,27,46.3
90,2025-09-24,124,90,3,1,21,35.02
91,2025-09-04,104,91,1,4,21,35.88
92,2025-07-01,39,92,1,3,24,104.75
93,2025-06-07,15,93,4,3,37,24.55
94,2025-08-18,87,94,4,6,17,64.77
95,2025-07-08,46,95,1,7,37,31.67
96,2025-11-08,169,96,2,6,11,20.77
97,2025-10-03,133,97,1,4,9,19.58
98,2025-10-05,135,98,3,1,49,57.86
99,2025-06-01,9,99,1,2,39,88.98
100,2025-08-09,78,100,1,7,25,59.53
101,2025-09-19,119,101,4,8,5,107.14
102,2025-09-17,117,102,1,8,34,87.78
103,2025-11-02,163,103,1,6,25,15.94
104,2025-10-27,157,104,1,5,39,46.2
105,2025-07-14,52,105,2,1,31,93.99
106,2025-06-16,24,106,2,4,28,86.04
107,2025-06-30,38,107,1,7,19,73.62
108,2025-06-02,10,108,1,4,41,18.49
109,2025-09-10,110,109,4,5,27,50.56
110,2025-08-15,84,110,2,8,17,17.0
111,2025-08-30,99,111,3,9,36,47.94
112,2025-10-25,155,112,1,2,35,14.52
113,2025-11-05,166,113,2,3,28,114.89
114,2025-09-22,122,114,2,2,37,18.5
115,2025-09-29,129,115,1,8,27,25.92
116,2025-06-07,15,116,4,6,11,27.51
117,2025-11-03,164,117,4,8,39,114.31
118,2025-05-25,2,109,1,4,1,61.29
119,2025-09-07,107,118,1,7,8,80.64
120,2025-05-24,1,119,3,2,24,65.26
121,2025-10-24,154,120,2,8,42,25.54
122,2025-09-27,127,121,3,2,28,27.12
123,2025-08-22,91,122,2,4,27,70.42
124,2025-07-21,59,123,3,2,15,75.13
125,2025-10-27,157,124,1,9,3,40.66
126,2025-10-01,131,125,4,9,50,97.3
127,2025-08-12,81,126,1,2,47,96.7
128,2025-06-16,24,127,3,5,17,15.55
129,2025-06-05,13,128,1,3,17,62.43
130,2025-08-18,87,129,3,5,12,94.89
131,2025-08-06,75,130,2,9,34,81.32
132,2025-06-26,34,131,3,8,49,13.52
133,2025-09-13,113,132,4,8,7,85.21
134,2025-09-17,117,133,3,6,36,119.08
135,2025-07-02,40,134,4,1,49,101.22
136,2025-11-14,175,135,2,2,40,56.45
137,2025-06-10,18,136,2,5,5,82.73
138,2025-06-14,22,137,4,8,46,42.35
139,2025-08-13,82,138,1,8,21,78.05
140,2025-08-21,90,3,3,9,5,14.07
141,2025-06-08,16,139,4,1,23,115.44
142,2025-06-17,25,140,3,7,13,91.8
143,2025-10-22,152,141,4,5,25,13.55
144,2025-11-11,172,142,4,6,38,92.93
145,2025-09-08,108,143,1,2,12,112.93
146,2025-10-14,144,144,3,7,21,21.64
147,2025-07-15,53,145,2,7,27,75.14
148,2025-09-12,112,146,2,3,7,61.57
149,2025-11-16,177,147,4,9,12,99.67
150,2025-05-26,3,148,4,9,18,38.66
151,2025-10-31,161,149,1,6,39,111.16
152,2025-09-17,117,150,4,4,30,111.81
153,2025-10-20,150,151,2,6,3,105.63
154,2025-07-20,58,152,1,2,37,100.33
155,2025-11-15,176,153,2,2,21,29.05
156,2025-07-25,63,154,2,1,50,113.0
157,2025-09-16,116,155,2,5,15,61.8
158,2025-07-11,49,156,3,5,39,58.39
159,2025-09-02,102,157,1,6,50,119.42
160,2025-06-23,31,158,1,2,5,26.59
161,2025-10-20,150,159,4,7,15,45.19
162,2025-11-09,170,160,3,1,12,98.65
163,2025-11-18,179,161,1,1,32,33.35
164,2025-09-14,114,162,1,1,13,64.63
165,2025-06-19,27,163,4,4,31,105.61
166,2025-06-14,22,164,1,1,15,80.1
167,2025-07-14,52,165,4,5,4,90.97
168,2025-10-09,139,166,4,2,6,59.46
169,2025-10-17,147,167,3,2,44,79.03
170,2025-08-24,93,168,3,8,16,62.59
171,2025-06-03,11,169,4,2,10,18.9
172,2025-10-05,135,170,2,2,21,40.48
173,2025-06-24,32,171,4,4,33,29.54
174,2025-06-15,23,172,1,6,33,56.12
175,2025-06-21,29,173,2,8,35,21.99
176,2025-10-31,161,174,3,9,45,65.3
177,2025-11-01,162,175,4,9,42,33.93
178,2025-07-24,62,176,3,6,10,88.99
179,2025-11-01,162,177,3,3,47,98.68
180,2025-07-30,68,178,3,3,30,65.78
181,2025-09-18,118,179,4,6,22,24.48
182,2025-11-03,164,180,4,4,7,20.14
183,2025-06-01,9,181,2,4,37,77.43
184,2025-10-06,136,182,1,9,28,41.38
185,2025-07-26,64,183,2,7,43,50.81
186,2025-08-11,80,184,1,4,21,93.22
187,2025-10-30,160,185,3,3,39,77.2
188,2025-06-23,31,186,3,9,36,116.75
189,2025-11-10,171,17,4,2,9,104.53
190,2025-08-24,93,187,4,3,3,86.25
191,2025-06-16,24,78,3,1,7,56.09
192,2025-07-21,59,188,2,9,18,46.3
193,2025-10-28,158,189,4,3,20,65.58
194,2025-09-10,110,190,1,8,20,74.31
195,2025-11-19,180,191,1,9,14,100.71
196,2025-10-29,159,192,4,4,17,30.87
197,2025-05-27,4,193,3,3,7,108.66
198,2025-10-20,150,194,2,1,20,58.08
199,2025-11-04,165,195,3,3,43,118.31
200,2025-09-20,120,196,4,6,16,59.67
201,2025-07-01,39,197,1,7,16,27.41
202,2025-05-28,5,198,1,5,6,59.36
203,2025-06-02,10,199,4,7,6,53.47
204,2025-09-13,113,200,2,5,39,14.75
205,2025-06-28,36,201,2,7,40,104.65
206,2025-06-03,11,202,4,7,38,49.2
207,2025-09-22,122,203,3,2,50,42.61
208,2025-06-11,19,118,2,1,27,13.85
209,2025-09-13,113,204,1,4,2,88.33
210,2025-11-17,178,205,2,7,4,73.99
211,2025-07-17,55,206,1,5,9,105.18
212,2025-07-25,63,207,4,3,5,64.01
213,2025-09-24,124,208,2,3,35,10.43
214,2025-11-16,177,209,3,2,25,110.27
215,2025-11-13,174,210,2,7,36,66.28
216,2025-10-09,139,211,4,5,50,11.25
217,2025-09-18,118,212,4,1,47,105.22
218,2025-06-13,21,213,3,2,16,66.75
219,2025-08-06,75,214,4,7,50,88.05
220,2025-08-17,86,1,1,5,7,42.78
221,2025-07-02,40,215,4,7,46,26.61
222,2025-06-26,34,216,4,7,16,27.78
223,2025-06-23,31,217,2,1,33,65.84
224,2025-09-18,118,218,2,3,39,49.82
225,2025-11-18,179,219,3,2,3,64.17
226,2025-07-08,46,220,3,3,45,116.75
227,2025-11-18,179,221,2,2,8,79.19
228,2025-09-02,102,222,4,5,43,93.41
229,2025-07-28,66,168,4,8,13,98.03
230,2025-09-20,120,223,4,1,6,59.24
231,2025-07-10,48,224,3,4,30,45.23
232,2025-07-24,62,225,2,6,30,85.76
233,2025-11-10,171,132,1,9,20,30.22
234,2025-07-19,57,15,3,5,44,95.64
235,2025-06-19,27,226,4,4,4,43.57
236,2025-10-08,138,227,4,7,42,41.54
237,2025-10-22,152,228,1,6,47,86.09
238,2025-10-27,157,229,1,1,15,96.92
239,2025-07-22,60,230,2,5,13,24.49
240,2025-10-09,139,231,1,7,2,17.57
241,2025-06-05,13,51,1,8,1,86.58
242,2025-07-18,56,232,1,8,8,88.4
243,2025-06-04,12,233,3,9,5,29.79
244,2025-09-01,101,234,3,1,19,22.11
245,2025-07-02,40,235,3,7,36,93.42
